[rospy.client][INFO] 2020-09-15 01:05:54,864: init_node, name[/car_driver_node], pid[2131]
[xmlrpc][INFO] 2020-09-15 01:05:54,865: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-15 01:05:54,866: Started XML-RPC server [http://192.168.43.172:35569/]
[rospy.init][INFO] 2020-09-15 01:05:54,866: ROS Slave URI: [http://192.168.43.172:35569/]
[rospy.impl.masterslave][INFO] 2020-09-15 01:05:54,867: _ready: http://192.168.43.172:35569/
[xmlrpc][INFO] 2020-09-15 01:05:54,868: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2020-09-15 01:05:54,869: Registering with master node http://192.168.43.172:11311
[rospy.init][INFO] 2020-09-15 01:05:54,967: registered with master
[rospy.rosout][INFO] 2020-09-15 01:05:54,969: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-15 01:05:54,980: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-15 01:05:54,985: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-15 01:05:55,039: topic[/cmd_vel] adding connection to [http://192.168.43.172:46795/], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,185: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,293: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,300: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,303: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:07:22,853: topic[/cmd_vel] adding connection to [http://192.168.43.192:42947/], count 1
[rosout][INFO] 2020-09-15 01:08:31,939: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,968: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:32,022: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:32,410: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:32,925: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:32,944: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:32,974: cmd_vel:0.295245,0.0
[rosout][ERROR] 2020-09-15 01:08:32,990: error tail:242
[rosout][INFO] 2020-09-15 01:08:33,010: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,043: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,095: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,110: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,134: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,176: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,219: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,247: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,268: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,295: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,328: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,357: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,404: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,423: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,454: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,487: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,545: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,557: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,592: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,618: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,651: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,706: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,731: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,761: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,789: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,823: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,862: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,916: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,941: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:33,966: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,002: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,042: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,060: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,093: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,125: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,164: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,184: cmd_vel:0.295245,0.0
[rosout][ERROR] 2020-09-15 01:08:34,190: error tail:3
[rosout][INFO] 2020-09-15 01:08:34,215: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,251: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,294: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,314: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,345: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,384: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,417: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,442: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,509: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,526: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,543: cmd_vel:0.295245,0.0
[rosout][ERROR] 2020-09-15 01:08:34,572: error tail:112
[rosout][INFO] 2020-09-15 01:08:34,585: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,613: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,649: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,684: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,713: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,750: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:34,797: cmd_vel:0.295245,0.0
